Unit Cell length:         6.014
Space Group:       P-1
 
    h       Fobs  sigFobs  Phicalc
    1     52.230    2.174    180.0
    2     19.888    1.818      0.0
    3      5.812    1.638    180.0
    4      5.318    1.841      0.0
    5      3.468    1.700    180.0
    6      0.871    1.806      0.0
    7      0.125    1.557      0.0
    8      0.127    1.653    180.0
    9      0.009    1.679      0.0
   10     -0.114    1.434      0.0
   11      0.141    1.648    180.0
   12     -0.197    1.440    180.0
   13      0.114    1.875      0.0
   14      0.049    1.655    180.0
   15     -0.065    1.655    180.0
   16      0.130    1.678     -0.0
   17      0.180    1.506      0.0
   18      0.063    1.685    180.0
   19      0.094    1.802     -0.0
   20      0.095    1.820      0.0
