Unit Cell length:        10.000
Space Group:       P-1
 
    h       Fobs  sigFobs  Phicalc
    1      4.744    1.027      0.0
    2      6.856    1.528    180.0
    3      8.087    0.854    180.0
    4      1.323    1.474    180.0
    5      3.960    1.120      0.0
    6      2.489    0.943      0.0
    7      0.694    0.655    180.0
    8      1.018    0.402    180.0
    9      0.380    0.330    180.0
   10      0.169    0.291      0.0
   11      0.142    0.268      0.0
   12      0.034    0.263      0.0
