Unit Cell length:        11.674
Space Group:       P-1
 
    h       Fobs  sigFobs  Phicalc
    1     61.251    2.853    180.0
    2     39.981    3.384      0.0
    3     28.552    3.352    180.0
    4     31.537    4.985      0.0
    5     35.842    5.120    180.0
    6     31.121    5.103      0.0
    7     18.713    5.462    180.0
    8      8.487    3.864      0.0
    9      4.790    2.907    180.0
   10      4.388    2.957      0.0
   11      4.186    2.408    180.0
   12      2.640    2.202      0.0
   13      1.154    1.939    180.0
   14      0.446    1.981      0.0
   15      0.239    2.063    180.0
   16      0.110    1.908      0.0
   17      0.050    1.724    180.0
   18      0.058    1.807      0.0
   19     -0.068    1.843    180.0
   20     -0.066    1.890      0.0
